Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Tirupati Medicare,3.7,(87 Reviews),"Paonta Sahib,Himachal Pradesh + 5 more",16 years old,"201-500
						employees
						(Global)",
Hgs Services,3.8,(87 Reviews),Private,Bengaluru + 17 more,21 years old,"10001-50000
						employees
						(Global)"
SMC,3.3,(87 Reviews),Private,"Somerset,South West England + 22 more",33 years old,"10001-50000
						employees
						(Global)"
Amazon seller serv...,4.3,(87 Reviews),Hyderabad/Secunderabad + 23 more,"1-10
						employees
						(Global)",,
TEXILA AMERICAN UN...,4.9,(87 Reviews),Private,Guyana + 4 more,11 years old,"11-50
						employees
						(India)"
Panda Retail Compa...,4.6,(87 Reviews),Private,Jeddah + 6 more,43 years old,"10001-50000
						employees
						(Global)"
GUILTFREE INDUSTRI...,3.5,(87 Reviews),Public,"Kolkata,West Bengal + 27 more",5 years old,"201-500
						employees
						(Global)"
Sadhu Forging,4.1,(87 Reviews),Private,"Faridabad,Haryana + 5 more",45 years old,"1001-5000
						employees
						(Global)"
Deep Industries,3.0,(87 Reviews),Public,"Ahmedabad,Gujarat + 7 more",30 years old,"501-1000
						employees
						(Global)"
MAFIL,4.2,(87 Reviews),Hyderabad/Secunderabad + 41 more,,,
Oriental Carbon & ...,4.3,(87 Reviews),Public,Noida + 9 more,43 years old,"201-500
						employees
						(Global)"
HMSHost,4.0,(87 Reviews),Private,"Bethesda,Maryland + 8 more",124 years old,"10001-50000
						employees
						(Global)"
GlobalStep,3.0,(87 Reviews),Private,"Dallas,Texas + 2 more",14 years old,"1001-5000
						employees
						(Global)"
Kusum Healthcare,4.1,(87 Reviews),Private,"Delhi/NCR,Delhi + 3 more",24 years old,"1001-5000
						employees
						(Global)"
RAK BANK,3.9,(87 Reviews),"Ras Al Khaimah,Ras Al Khaimah + 4 more",45 years old,"1001-5000
						employees
						(Global)",
Jain University,3.7,(87 Reviews),Private,Bangalore + 3 more,12 years old,"1001-5000
						employees
						(Global)"
Century Pulp & Pap...,3.8,(87 Reviews),"Nainital,Uttarakhand + 7 more",37 years old,"1001-5000
						employees
						(Global)",
Parijat Industries...,4.2,(87 Reviews),Private,"Delhi/NCR,Delhi + 21 more",26 years old,"201-500
						employees
						(India)"
Hyundai Engineerin...,4.0,(87 Reviews),Private,Seoul + 15 more,47 years old,"5001-10000
						employees
						(Global)"
Ahresty India,3.7,(87 Reviews),Private,"Rewari,Haryana + 5 more",14 years old,"501-1000
						employees
						(Global)"
AT&S,3.8,(87 Reviews),Private,Leoben + 27 more,34 years old,"5001-10000
						employees
						(Global)"
Sonalika Group of ...,4.1,(87 Reviews),Private,Hoshiarpur + 20 more,52 years old,"5001-10000
						employees
						(India)"
Al Naboodah,4.5,(87 Reviews),Dubai + 6 more,63 years old,"10001-50000
						employees
						(Global)",
Go Speedy Go,4.5,(87 Reviews),Private,Bhubaneswar + 4 more,4 years old,"501-1000
						employees
						(Global)"
Padmini VNA Mechat...,3.6,(87 Reviews),Private,"Gurgaon/Gurugram,Haryana",30 years old,"501-1000
						employees
						(Global)"
GlobalStep,3.0,(87 Reviews),Private,"Dallas,Texas + 2 more",14 years old,"1001-5000
						employees
						(Global)"
Unity Infraproject...,3.3,(87 Reviews),Public,"Mumbai,Maharashtra + 15 more",42 years old,"1001-5000
						employees
						(Global)"
Veeba Food Service...,4.5,(87 Reviews),Private,Gurugram + 16 more,9 years old,"51-200
						employees
						(Global)"
Tulip Diagnostics,4.1,(87 Reviews),Private,Goa + 28 more,33 years old,"1001-5000
						employees
						(Global)"
GUILTFREE INDUSTRI...,3.5,(87 Reviews),Public,"Kolkata,West Bengal + 27 more",5 years old,"201-500
						employees
						(Global)"
National Institute...,3.5,(87 Reviews),Private,"Delhi/NCR,Delhi + 18 more",19 years old,"5001-10000
						employees
						(Global)"
Freyr Solutions,3.8,(87 Reviews),"Princeton,New Jersey",14 years old,"501-1000
						employees
						(Global)",
Casio India Compan...,3.5,(87 Reviews),Private,"Delhi/NCR,New Delhi + 16 more",25 years old,"201-500
						employees
						(Global)"
Lumino Industries,4.0,(86 Reviews),"Kolkata,West Bengal + 10 more",32 years old,"51-200
						employees
						(Global)",
Neolite Zkw Lighti...,3.5,(86 Reviews),Private,"Delhi/NCR,Delhi + 7 more",69 years old,"1001-5000
						employees
						(Global)"
Can Fin Homes,3.5,(86 Reviews),Public,Bangalore + 32 more,34 years old,"201-500
						employees
						(Global)"
NIKE,4.4,(86 Reviews),Public,"Beaverton,Oregon + 23 more",57 years old,"50001-100000
						employees
						(Global)"
Solaris Chemtech,4.4,(86 Reviews),Private,Gurgaon + 8 more,51 years old,"501-1000
						employees
						(Global)"
Connect Broadband,4.4,(86 Reviews),Public,"Ajitgarh,Punjab + 10 more",75 years old,"501-1000
						employees
						(Global)"
Echs Polyclinic,4.0,(86 Reviews),Public,New Delhi + 36 more,18 years old,"10001-50000
						employees
						(Global)"
Myoung Shin India ...,4.2,(86 Reviews),Private,"Kanchipuram,Tamil Nadu + 3 more",15 years old,"501-1000
						employees
						(Global)"
Fukoku,4.1,(86 Reviews),Ageo + 1 more,68 years old,"1001-5000
						employees
						(Global)",
Sj Contracts,4.3,(86 Reviews),Private,"Pune,Maharashtra",31 years old,"501-1000
						employees
						(Global)"
Maral Overseas,3.8,(86 Reviews),Public,"Delhi/NCR,Delhi + 6 more",30 years old,"501-1000
						employees
						(Global)"
Tenon Facility Man...,4.2,(86 Reviews),"Gurgaon/Gurugram,Haryana + 13 more",26 years old,"50001-100000
						employees
						(Global)",
Unimark Remedies,2.9,(86 Reviews),Private,Mumbai + 6 more,28 years old,"501-1000
						employees
						(Global)"
Fawaz Alhokair Gro...,4.1,(86 Reviews),Private,Riyadh + 5 more,31 years old,"5001-10000
						employees
						(Global)"
ARCIS e Services,3.4,(86 Reviews),Private,Gurgaon + 7 more,34 years old,"201-500
						employees
						(Global)"
Celebi Ground Hand...,4.4,(86 Reviews),Private,Istanbul + 7 more,63 years old,"10001-50000
						employees
						(Global)"
MOURI Tech,4.0,(86 Reviews),Private,"Dallas,Texas + 3 more",16 years old,"1001-5000
						employees
						(India)"
Sigma,3.9,(86 Reviews),Private,"Altidona,Missouri + 22 more",22 years old,"201-500
						employees
						(Global)"
GD Goenka Universi...,3.7,(86 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",8 years old,"201-500
						employees
						(Global)"
AYTB,4.0,(86 Reviews),Private,Al Jubail + 6 more,42 years old,"5001-10000
						employees
						(Global)"
LEAP India,3.1,(86 Reviews),Private,"Mumbai,Maharashtra + 13 more",8 years old,"201-500
						employees
						(Global)"
Nyati Group,4.2,(86 Reviews),Private,"Pune,Maharashtra + 5 more",24 years old,"201-500
						employees
						(Global)"
Torque Pharmaceuti...,4.0,(86 Reviews),Private,"Chandigarh,Chandigarh + 18 more",36 years old,"1001-5000
						employees
						(Global)"
Viraj Projects,3.4,(86 Reviews),Private,Pune + 7 more,20 years old,"201-500
						employees
						(Global)"
MTS,4.8,(86 Reviews),Private,"Minnesota,Hennepin + 34 more",55 years old,"1001-5000
						employees
						(Global)"
Binani Cement,4.2,(86 Reviews),Mumbai + 14 more,25 years old,"1001-5000
						employees
						(Global)",
Cape East,4.1,(86 Reviews),Montpellier + 7 more,128 years old,"10001-50000
						employees
						(Global)",
Qspiders Software ...,4.3,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",18 years old,"201-500
						employees
						(Global)"
Patton Internation...,4.3,(86 Reviews),Private,"Kolkata,West Bengal + 2 more",31 years old,"1001-5000
						employees
						(Global)"
Thermax Babcock Wi...,4.2,(86 Reviews),Private,"Pune,Maharashtra + 5 more",11 years old,"201-500
						employees
						(Global)"
Celebrity Cruises,4.7,(86 Reviews),Miami + 3 more,32 years old,"501-1000
						employees
						(India)",
Azim Premji Founda...,4.0,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",21 years old,"1001-5000
						employees
						(Global)"
Little Millennium,4.4,(86 Reviews),"Gurgaon/Gurugram,Haryana + 20 more",13 years old,"51-200
						employees
						(India)",
Nippon Toyota,4.5,(86 Reviews),Private,"Kochi/Cochin,Kerala + 9 more",22 years old,"1001-5000
						employees
						(Global)"
Orient Paper Mill,3.8,(86 Reviews),Kolkata + 6 more,82 years old,"1001-5000
						employees
						(Global)",
Epitome Components,3.3,(86 Reviews),"Ahmednagar,Maharashtra + 4 more",27 years old,"501-1000
						employees
						(Global)",
Eye-Q Super Specia...,3.9,(86 Reviews),Gurugram + 19 more,14 years old,"501-1000
						employees
						(Global)",
Uniproducts,4.2,(86 Reviews),Public,"Noida,Uttar Pradesh + 6 more",39 years old,"201-500
						employees
						(Global)"
Prestige Estates P...,4.4,(86 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",35 years old,"1001-5000
						employees
						(India)"
Imedx Information ...,3.1,(86 Reviews),Atlanta + 4 more,19 years old,"1001-5000
						employees
						(Global)",
Beri Udyog,3.7,(86 Reviews),"Karnal,Haryana + 8 more",43 years old,"501-1000
						employees
						(Global)",
Apex Hospital,4.0,(86 Reviews),Private,"Jaipur,Rajasthan + 18 more",27 years old,"51-200
						employees
						(Global)"
Emerson Electric C...,3.8,(86 Reviews),"St Louis,Missouri + 18 more",131 years old,"50001-100000
						employees
						(Global)",
Echs Polyclinic,4.0,(86 Reviews),Public,New Delhi + 36 more,18 years old,"10001-50000
						employees
						(Global)"
Qspiders Software ...,4.3,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",18 years old,"201-500
						employees
						(Global)"
Azim Premji Founda...,4.0,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",21 years old,"1001-5000
						employees
						(Global)"
NIKE,4.4,(86 Reviews),Public,"Beaverton,Oregon + 23 more",57 years old,"50001-100000
						employees
						(Global)"
AYTB,4.0,(86 Reviews),Private,Al Jubail + 6 more,42 years old,"5001-10000
						employees
						(Global)"
Uniproducts,4.2,(86 Reviews),Public,"Noida,Uttar Pradesh + 6 more",39 years old,"201-500
						employees
						(Global)"
Viraj Projects,3.4,(86 Reviews),Private,Pune + 7 more,20 years old,"201-500
						employees
						(Global)"
OmniActive Health ...,3.8,(86 Reviews),Public,"Mumbai,Maharashtra + 8 more",17 years old,"201-500
						employees
						(Global)"
Can Fin Homes,3.5,(86 Reviews),Public,Bangalore + 32 more,34 years old,"201-500
						employees
						(Global)"
Laxmi-Agni Compone...,3.5,(86 Reviews),Aurangabad,22 years old,"201-500
						employees
						(Global)",
Debtcare Enterpris...,4.7,(86 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",13 years old,"1-10
						employees
						(Global)"
Jindal Group Of Co...,3.1,(86 Reviews),Private,New Delhi + 16 more,69 years old,"5001-10000
						employees
						(Global)"
GfK MODE,3.6,(86 Reviews),Private,"Nuremberg,Bavaria + 12 more",87 years old,"5001-10000
						employees
						(Global)"
Ather Energy,4.0,(86 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",8 years old,"501-1000
						employees
						(India)"
SastaSundar,4.0,(85 Reviews),Private,Kolkata + 9 more,8 years old,"201-500
						employees
						(Global)"
ACE Group,3.9,(85 Reviews),Private,Noida + 23 more,11 years old,"201-500
						employees
						(Global)"
Absotherm Facility...,4.6,(85 Reviews),Private,Thane + 15 more,11 years old,"5001-10000
						employees
						(Global)"
Koenig Solutions,3.2,(85 Reviews),Private,"Delhi/NCR,Delhi + 5 more",28 years old,"201-500
						employees
						(India)"
RNF Technologies,4.1,(85 Reviews),Private,"Noida,Uttar Pradesh + 1 more",12 years old,"201-500
						employees
						(Global)"
Ansal Properties &...,3.4,(85 Reviews),Public,"Delhi/NCR,New Delhi + 10 more",54 years old,"1001-5000
						employees
						(Global)"
Celio Future Fashi...,4.7,(85 Reviews),Private,Saint Quen + 21 more,36 years old,"501-1000
						employees
						(India)"
IFB Agro Industrie...,4.0,(85 Reviews),Public,Kolkata + 14 more,39 years old,"10001-50000
						employees
						(Global)"
Hard Rock Cafe,4.2,(85 Reviews),Private,Davie + 13 more,50 years old,"10001-50000
						employees
						(Global)"
PreludeSys,3.5,(85 Reviews),Private,"Irvine,California",22 years old,"501-1000
						employees
						(Global)"
Caplin Point Labor...,3.7,(85 Reviews),Public,"Chennai,Tamil Nadu + 4 more",31 years old,"201-500
						employees
						(Global)"
Nehru Yuva Kendra ...,4.3,(85 Reviews),New Delhi + 44 more,49 years old,,
CIBERsites India,3.1,(85 Reviews),Private,Troy + 2 more,47 years old,"5001-10000
						employees
						(Global)"
Tata Ficosa Automo...,4.1,(85 Reviews),Pune + 7 more,23 years old,"51-200
						employees
						(Global)",
Gerdau Steel India,4.3,(85 Reviews),Private,Bangalore + 3 more,28 years old,"501-1000
						employees
						(Global)"
Logicon Facility M...,3.7,(85 Reviews),Pune + 4 more,15 years old,"1001-5000
						employees
						(Global)",
Koenig Solutions,3.2,(85 Reviews),Private,"Delhi/NCR,Delhi + 5 more",28 years old,"201-500
						employees
						(India)"
RNF Technologies,4.1,(85 Reviews),Private,"Noida,Uttar Pradesh + 1 more",12 years old,"201-500
						employees
						(Global)"
Chowgule Industrie...,4.0,(85 Reviews),Goa + 8 more,35 years old,"201-500
						employees
						(Global)",
Sovereign Health,2.8,(85 Reviews),Private,San Clemente + 2 more,12 years old,"501-1000
						employees
						(Global)"
Rotostat Services,4.1,(85 Reviews),"Mumbai,Maharashtra + 9 more",12 years old,"201-500
						employees
						(Global)",
CIBERsites India,3.1,(85 Reviews),Private,Troy + 2 more,47 years old,"5001-10000
						employees
						(Global)"
Tata Ficosa Automo...,4.1,(85 Reviews),Pune + 7 more,23 years old,"51-200
						employees
						(Global)",
Gerdau Steel India,4.3,(85 Reviews),Private,Bangalore + 3 more,28 years old,"501-1000
						employees
						(Global)"
Himalaya Opticals,4.1,(85 Reviews),Private,"Kolkata,West Bengal + 20 more",86 years old,"201-500
						employees
						(Global)"
SastaSundar,4.0,(85 Reviews),Private,Kolkata + 9 more,8 years old,"201-500
						employees
						(Global)"
Epson,4.2,(85 Reviews),Suwa + 31 more,79 years old,"50001-100000
						employees
						(Global)",
Godrej Infotech,4.0,(85 Reviews),Private,"Mumbai,Maharashtra + 3 more",22 years old,"51-200
						employees
						(Global)"
Serdia Pharmaceuti...,4.3,(85 Reviews),Private,"Mumbai,Maharashtra + 19 more",35 years old,"501-1000
						employees
						(India)"
The Indure,3.5,(85 Reviews),Private,New Delhi + 11 more,51 years old,"501-1000
						employees
						(Global)"
QRG Central Hospit...,3.6,(85 Reviews),Private,Faridabad + 2 more,14 years old,"501-1000
						employees
						(Global)"
Tyco Fire & Securi...,4.3,(85 Reviews),Private,Abu Dhabi + 15 more,29 years old,"1001-5000
						employees
						(Global)"
Citykart Retail,4.1,(85 Reviews),Private,Gurgaon + 22 more,5 years old,"1001-5000
						employees
						(Global)"
Bajaj Consumer Car...,4.1,(85 Reviews),Public,"Mumbai,Maharashtra + 23 more",91 years old,"201-500
						employees
						(India)"
Veeraraghavan & Co...,3.5,(85 Reviews),Private,Andheri + 10 more,32 years old,"201-500
						employees
						(Global)"
Jamia Hamdard Univ...,3.9,(85 Reviews),Public,New Delhi,32 years old,"1001-5000
						employees
						(Global)"
MMTC-PAMP,3.3,(85 Reviews),Private,New Delhi + 13 more,13 years old,"201-500
						employees
						(Global)"
Ansal Properties &...,3.4,(85 Reviews),Public,"Delhi/NCR,New Delhi + 10 more",54 years old,"1001-5000
						employees
						(Global)"
Chitkara Universit...,3.9,(85 Reviews),Private,"Chandigarh,Punjab + 3 more",13 years old,"501-1000
						employees
						(Global)"
BDR Pharmaceutical...,3.6,(85 Reviews),Private,"Mumbai,Maharashtra + 8 more",18 years old,"51-200
						employees
						(Global)"
Mahindra Integrate...,3.6,(85 Reviews),Private,Mumbai + 16 more,19 years old,"1001-5000
						employees
						(Global)"
Dishman Carbogen A...,3.8,(85 Reviews),Bubendorf + 2 more,14 years old,"501-1000
						employees
						(Global)",
TJSB Sahakari Bank,4.4,(84 Reviews),Private,Thane + 17 more,49 years old,"1001-5000
						employees
						(Global)"
Arkray Healthcare,4.1,(84 Reviews),Private,Kyoto + 15 more,61 years old,"1001-5000
						employees
						(Global)"
Db Power,4.1,(84 Reviews),"Mumbai,Maharashtra + 4 more",15 years old,"501-1000
						employees
						(India)",
Trident Automobile...,4.4,(84 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",23 years old,"1001-5000
						employees
						(Global)"
Linc Pen & Plastic...,4.0,(84 Reviews),Public,"Kolkata,West Bengal + 14 more",45 years old,"501-1000
						employees
						(Global)"
Benteler Automotiv...,3.9,(84 Reviews),Private,Salzburg + 2 more,145 years old,"10001-50000
						employees
						(Global)"
Toyota Material Ha...,4.2,(84 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",65 years old,"1001-5000
						employees
						(Global)"
Dynamic Beneficial...,3.8,(84 Reviews),Private,"Chandigarh,Chandigarh + 25 more",10 years old,"201-500
						employees
						(Global)"
Ministry Of Educat...,4.2,(84 Reviews),Private,Male + 12 more,"5001-10000
						employees
						(Global)",
Videojet Technolog...,4.5,(84 Reviews),Private,"Wood Dale,Illinois + 15 more",26 years old,"1001-5000
						employees
						(Global)"
Agappe Diagnostics,4.1,(84 Reviews),Private,"Ernakulam,Kerala + 18 more",27 years old,"201-500
						employees
						(Global)"
High Court Lucknow,4.4,(84 Reviews),Lucknow + 17 more,"201-500
						employees
						(Global)",,
